ID,present,WC_alt,WC_bio1,WC_bio2,ER_tri,ER_topoWet,lon,lat
357,1,-1,15.899999618530273,10.199999809265137,12.039999961853027,12.869999885559082,22.830765,40.582898
358,1,111,17.100000381469727,10.5,24.530000686645508,10.720000267028809,22.235053,-34.052555
359,1,21,16.700000762939453,9.899999618530273,4.570000171661377,13.029999732971191,18.51022,-34.056675
360,1,21,16.700000762939453,9.899999618530273,4.570000171661377,13.029999732971191,18.513766,-34.077752
361,1,66,16.600000381469727,10.699999809265137,20.579999923706055,10.869999885559082,18.764436,-34.079147
362,1,21,16.700000762939453,9.899999618530273,4.570000171661377,13.029999732971191,18.512386,-34.083286
363,1,25,17.100000381469727,9.199999809265137,11.279999732971191,11.220000267028809,-8.005506,37.020764
364,1,19,17.200000762939453,9.100000381469727,13.390000343322754,11.109999656677246,-7.987458,37.014919
365,1,29,16.799999237060547,8.100000381469727,9.760000228881836,12.149999618530273,-9.143971,38.64424
366,1,2,17.600000381469727,9,2.5799999237060547,12.84000015258789,-0.403458,39.403878
367,1,108,16.299999237060547,8.699999809265137,72.08000183105469,8.9399995803833,18.359643,-34.13581
368,1,19,17.399999618530273,9,10.949999809265137,11.039999961853027,-7.625142,37.110547
369,1,18,17,8.300000190734863,6.760000228881836,12.5600004196167,-8.99218,38.702032
370,1,7,13.100000381469727,9,5.119999885559082,12.119999885559082,12.325608,44.240983
371,1,18,17,8.300000190734863,6.760000228881836,12.5600004196167,-8.980854,38.742706
372,1,6,14.100000381469727,10.100000381469727,5.570000171661377,12.680000305175781,3.902217,43.554541
373,1,4,16,10,20.520000457763672,11.670000076293945,22.84382,40.62525
374,1,-1,15.899999618530273,10.199999809265137,12.039999961853027,12.869999885559082,22.822343,40.575108
375,1,51,16.5,7.800000190734863,32.97999954223633,11.489999771118164,-9.03858,38.885323
376,1,17,14.800000190734863,9.600000381469727,13.229999542236328,11.779999732971191,3.206158,43.221291
377,1,-1,13.399999618530273,7.800000190734863,4.510000228881836,13.640000343322754,12.147145,44.550965
378,1,9,16.700000762939453,9.5,6.130000114440918,13.100000381469727,18.511364,-34.093685
379,1,31,18.100000381469727,11.199999809265137,9.869999885559082,11.529999732971191,-0.791245,38.187985
380,1,17,17.5,8.899999618530273,9.210000038146973,12.3100004196167,-7.447284,37.211159
381,1,7,18.200000762939453,10.800000190734863,4.690000057220459,12.800000190734863,-0.77279,37.818245
382,1,14,16.5,8.600000381469727,11.220000267028809,13.010000228881836,9.155881,39.228393
383,1,16,18.200000762939453,10.199999809265137,20.15999984741211,12.390000343322754,-0.718094,37.634923
384,1,1092,22.899999618530273,16.100000381469727,1.649999976158142,14.479999542236328,17.020523,-18.745456
385,1,0,14.199999809265137,9.800000190734863,1.7000000476837158,13.920000076293945,4.581359,43.454204
386,1,4,16.200000762939453,8.800000190734863,4.960000038146973,12.779999732971191,16.085557,41.372172
387,1,1,15.899999618530273,7.900000095367432,14.1899995803833,12.800000190734863,3.099255,42.213841
388,1,37,15,9,26.059999465942383,10.9399995803833,10.92482,42.773107
389,1,0,14.199999809265137,9.800000190734863,1.7000000476837158,13.920000076293945,4.573386,43.45483
390,1,1,17.700000762939453,9,1.4800000190734863,13.520000457763672,-0.317492,39.335953
391,1,1,17.700000762939453,9,1.4800000190734863,13.520000457763672,-0.31745,39.33596
392,1,1122,22.200000762939453,17.200000762939453,2.069999933242798,13.789999961853027,15.941018,-19.315238
393,1,3,15.300000190734863,8,25.440000534057617,10.460000038146973,6.13426,43.064428
394,1,1,17.700000762939453,9,1.4800000190734863,13.520000457763672,-0.31721,39.335847
395,1,1,17.700000762939453,9,1.4800000190734863,13.520000457763672,-0.317512,39.335985
396,1,1,17.700000762939453,9,1.4800000190734863,13.520000457763672,-0.318565,39.33352
397,1,1,17.700000762939453,9,1.4800000190734863,13.520000457763672,-0.317502,39.336007
398,1,NA,NA,NA,NA,NA,70.00996,50.64444
399,1,304,2.5999999046325684,11.699999809265137,1.059999942779541,13.84000015258789,69.57069,50.62517
400,1,NA,NA,NA,NA,NA,-9.204112,39.403284
401,1,67,14.699999809265137,9.399999618530273,30.219999313354492,10.930000305175781,3.083375,43.093211
402,1,29,16.799999237060547,8.100000381469727,9.760000228881836,12.149999618530273,-9.144143,38.644851
